creator,stimuli,filepath,gpt_caption
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle20.png,"Abstract shapes with steps and arch-like structures, possibly architectural. [3]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle21.png,Circle with a sun and abstract geometric shapes inside. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle22.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle23.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle24.png,Abstract shape resembling butterfly with barcode pattern inside. [3]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle25.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle26.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle27.png,Abstract shapes similar to lines and crosses within a circle. [3]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle28.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle29.png,Abstract circular pattern with geometric shapes and symbols inside. [3]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle30.png,Concentric circles with a central pattern resembling a door. [3]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle31.png,"Abstract geometric pattern with intersecting lines, resembling a house within a circle. [3]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle32.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle33.png,"Geometric design with circles, lines, and triangles. [4]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle34.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle35.png,Abstract shapes and lines arranged within a circular pattern. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle36.png,Abstract lines and curves intersecting within geometric shapes. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle37.png,Hard to interpret. [1]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle38.png,"Geometric shapes including triangles, rectangles, circle, and arcs arranged together. [4]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle39.png,Geometric shapes resembling buildings inside a wavy-bordered frame. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle40.png,Abstract geometric pattern with concentric arches and angular shapes. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle41.png,Abstract composition with geometric shapes and intersecting lines. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle42.png,A curved path leading into an arch under a rainbow. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle43.png,"A figure sitting at a round window frame, viewed from outside. [4]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle44.png,"Heart above a square, with two ovals on each side. [4]"
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle45.png,A circular harp with leaves and music notes around it. [5]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle46.png,Geometric spiral with intersecting lines and rectangles forming a pattern. [5]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle47.png,Hard to interpret. [4]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle48.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle49.png,Hard to interpret. [2]
AI_prompt1,G,../data/AI/prompt_1/stimuli_G/Dalle50.png,Hard to interpret. [1]
